Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,accel.linear.x,accel.linear.y,accel.linear.z,accel.angular.x,accel.angular.y,accel.angular.z
1623359220.924794,2709,0,0,,0.2150000035762787,0.0,0.0,0.0,0.0,0.0
1623359220.9438488,2710,0,0,,0.2090000063180923,0.0,0.0,0.0,0.0,0.0
1623359220.9634175,2711,0,0,,0.2689999938011169,0.0,0.0,0.0,0.0,0.0
1623359220.983439,2712,0,0,,0.3089999854564667,0.0,0.0,0.0,0.0,0.0
1623359221.0056372,2713,0,0,,0.2070000022649765,0.0,0.0,0.0,0.0,0.0
1623359221.0239007,2714,0,0,,0.0729999989271164,0.0,0.0,0.0,0.0,0.0
1623359221.0442822,2715,0,0,,0.0489999987185001,0.0,0.0,0.0,0.0,0.0
1623359221.0644174,2716,0,0,,0.0340000018477439,0.0,0.0,0.0,0.0,0.0
1623359221.0843794,2717,0,0,,0.0230000000447034,0.0,0.0,0.0,0.0,0.0
1623359221.1058128,2718,0,0,,0.0160000007599592,0.0,0.0,0.0,0.0,0.0
1623359221.1244714,2719,0,0,,0.0109999999403953,0.0,0.0,0.0,0.0,0.0
1623359221.14356,2720,0,0,,0.0719999969005584,0.0,0.0,0.0,0.0,0.0
1623359221.165081,2721,0,0,,0.1770000010728836,0.0,0.0,0.0,0.0,0.0
1623359221.18347,2722,0,0,,0.2479999959468841,0.0,0.0,0.0,0.0,0.0
1623359221.206313,2723,0,0,,0.2939999997615814,0.0,0.0,0.0,0.0,0.0
1623359221.2240355,2724,0,0,,0.2619999945163727,0.0,0.0,0.0,0.0,0.0
1623359221.244124,2725,0,0,,0.1749999970197677,0.0,0.0,0.0,0.0,0.0
1623359221.2646804,2726,0,0,,0.1809999942779541,0.0,0.0,0.0,0.0,0.0
1623359221.2845654,2727,0,0,,0.25,0.0,0.0,0.0,0.0,0.0
1623359221.3053744,2728,0,0,,0.2960000038146972,0.0,0.0,0.0,0.0,0.0
1623359221.3241558,2729,0,0,,0.3269999921321869,0.0,0.0,0.0,0.0,0.0
1623359221.344512,2730,0,0,,0.2840000092983246,0.0,0.0,0.0,0.0,0.0
1623359221.3657122,2731,0,0,,0.1899999976158142,0.0,0.0,0.0,0.0,0.0
1623359221.3850634,2732,0,0,,0.1270000040531158,0.0,0.0,0.0,0.0,0.0
1623359221.4076257,2733,0,0,,0.0850000008940696,0.0,0.0,0.0,0.0,0.0
1623359221.4249291,2734,0,0,,0.1220000013709068,0.0,0.0,0.0,0.0,0.0
1623359221.4469347,2735,0,0,,0.209999993443489,0.0,0.0,0.0,0.0,0.0
1623359221.4650545,2736,0,0,,0.1410000026226043,0.0,0.0,0.0,0.0,0.0
1623359221.4847555,2737,0,0,,-0.0350000001490116,0.0,0.0,0.0,0.0,0.0
1623359221.505182,2738,0,0,,-0.0869999974966049,0.0,0.0,0.0,0.0,0.0
1623359221.5236547,2739,0,0,,0.0049999998882412,0.0,0.0,0.0,0.0,0.0
1623359221.5441418,2740,0,0,,0.1330000013113021,0.0,0.0,0.0,0.0,0.0
1623359221.565364,2741,0,0,,0.152999997138977,0.0,0.0,0.0,0.0,0.0
1623359221.5866437,2742,0,0,,0.1019999980926513,0.0,0.0,0.0,0.0,0.0
1623359221.6080415,2743,0,0,,0.0689999982714653,0.0,0.0,0.0,0.0,0.0
1623359221.6255183,2744,0,0,,0.0460000000894069,0.0,0.0,0.0,0.0,0.0
1623359221.6527152,2745,0,0,,0.0320000015199184,0.0,0.0,0.0,0.0,0.0
1623359221.6648977,2746,0,0,,0.0850000008940696,0.0,0.0,0.0,0.0,0.0
1623359221.6840253,2747,0,0,,0.1860000044107437,0.0,0.0,0.0,0.0,0.0
1623359221.7058003,2748,0,0,,0.1879999935626983,0.0,0.0,0.0,0.0,0.0
1623359221.7247558,2749,0,0,,0.125,0.0,0.0,0.0,0.0,0.0
1623359221.7448423,2750,0,0,,0.0839999988675117,0.0,0.0,0.0,0.0,0.0
1623359221.7662733,2751,0,0,,0.1209999993443489,0.0,0.0,0.0,0.0,0.0
1623359221.7862203,2752,0,0,,0.2090000063180923,0.0,0.0,0.0,0.0,0.0
1623359221.8091245,2753,0,0,,0.2689999938011169,0.0,0.0,0.0,0.0,0.0
1623359221.829759,2754,0,0,,0.3089999854564667,0.0,0.0,0.0,0.0,0.0
